"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6405","navigate to form page @smoke @regression","chromium","2025-12-14","passed","2025-12-14","","tests\usePageObjects.spec.ts","",""
"","2952","parametrized methods @smoke","chromium","2025-12-14","passed","2025-12-14","","tests\usePageObjects.spec.ts","",""
